id,route_name,start_id,finish_id,bus_stops
10,161,8250DB002825,8230DB007441,"['8250DB002825', '8250DB002867', '8250DB001035', '8250DB001314', '8250DB001316', '8250DB001315', '8250DB004332', '8250DB004333', '8250DB004334', '8250DB004712', '8250DB004582', '8250DB004987', '8250DB002979', '8230DB002980', '8230DB002981', '8230DB007447', '8230DB002954', '8230DB007067', '8230DB002956', '8230DB002965', '8230DB002983', '8230DB002984', '8230DB007449', '8230DB002927', '8230DB002929', '8230DB002930', '8230DB007441']"
11,17,8220DB001380,8250DB003033,"['8220DB001380', '8220DB001381', '8220DB001406', '8220DB001407', '8220DB001409', '8220DB003353', '8220DB003354', '8220DB003355', '8220DB003356', '8220DB001400', '8220DB001391', '8220DB003357', '8220DB003358', '8220DB002449', '8220DB002450', '8220DB002451', '8220DB002434', '8220DB002435', '8220DB002436', '8220DB002437', '8220DB001117', '8220DB001118', '8220DB001119', '8220DB001120', '8220DB001299', '8220DB001300', '8230DB001301', '8230DB001302', '8230DB001303', '8230DB001304', '8230DB001305', '8250DB001306', '8250DB001307', '8250DB001308', '8250DB001309', '8250DB001310', '8250DB001311', '8250DB001312', '8250DB001313', '8250DB001055', '8250DB002868', '8250DB002892', '8250DB002893', '8250DB002894', '8250DB002895', '8250DB003012', '8250DB000861', '8250DB000862', '8250DB000863', '8250DB000864', '8250DB000865', '8250DB000866', '8250DB002052', '8250DB002082', '8250DB002083', '8250DB002084', '8250DB000765', '8250DB002007', '8250DB002008', '8250DB002009', '8250DB002010', '8250DB000462', '8250DB000464', '8250DB000465', '8250DB000466', '8250DB000467', '8250DB000468', '8250DB003032', '8250DB003033']"
12,17,8250DB003085,8220DB001366,"['8250DB003085', '8250DB003082', '8250DB003083', '8250DB000430', '8250DB000431', '8250DB000432', '8250DB000433', '8250DB000434', '8250DB002068', '8250DB002069', '8250DB002070', '8250DB002084', '8250DB000765', '8250DB002007', '8250DB002008', '8250DB002071', '8250DB002072', '8250DB000867', '8250DB000869', '8250DB000870', '8250DB000873', '8250DB000874', '8250DB000875', '8250DB000876', '8250DB003011', '8250DB002820', '8250DB002822', '8250DB002823', '8250DB005032', '8250DB002867', '8250DB001035', '8250DB001314', '8250DB001316', '8250DB001315', '8250DB001317', '8250DB001318', '8250DB001319', '8250DB001281', '8230DB001329', '8230DB001330', '8230DB001331', '8230DB001332', '8230DB001333', '8230DB001334', '8220DB001335', '8220DB001336', '8220DB001086', '8220DB001087', '8220DB001088', '8220DB001089', '8220DB001090', '8220DB002413', '8220DB002414', '8220DB002415', '8220DB002327', '8220DB002464', '8220DB002465', '8220DB002466', '8220DB003360', '8220DB001392', '8220DB001394', '8220DB001395', '8220DB003361', '8220DB003362', '8220DB001436', '8220DB003952', '8220DB002190', '8220DB001366']"
13,174,8250DB002825,8220DB001366,"['8250DB002825', '8250DB002867', '8250DB001035', '8250DB001314', '8250DB001316', '8250DB001315', '8250DB001317', '8250DB001318', '8250DB001319', '8250DB001281', '8230DB001329', '8230DB001330', '8230DB001331', '8230DB001332', '8230DB001333', '8230DB001334', '8220DB001335', '8220DB001336', '8220DB001086', '8220DB001087', '8220DB001088', '8220DB001089', '8220DB001090', '8220DB002413', '8220DB002414', '8220DB002415', '8220DB002327', '8220DB002464', '8220DB002465', '8220DB002466', '8220DB003360', '8220DB001392', '8220DB001394', '8220DB001395', '8220DB003361', '8220DB003362', '8220DB001436', '8220DB003952', '8220DB002190', '8220DB001366']"
14,174,8220DB001380,8250DB002868,"['8220DB001380', '8220DB001381', '8220DB001406', '8220DB001407', '8220DB001409', '8220DB003353', '8220DB003354', '8220DB003355', '8220DB003356', '8220DB001400', '8220DB001391', '8220DB003357', '8220DB003358', '8220DB002449', '8220DB002450', '8220DB002451', '8220DB002434', '8220DB002435', '8220DB002436', '8220DB002437', '8220DB001117', '8220DB001118', '8220DB001119', '8220DB001120', '8220DB001299', '8220DB001300', '8230DB001301', '8230DB001302', '8230DB001303', '8230DB001304', '8230DB001305', '8250DB001306', '8250DB001307', '8250DB001308', '8250DB001309', '8250DB001310', '8250DB001311', '8250DB001312', '8250DB001313', '8250DB001055', '8250DB002868']"
15,175,8230DB006001,8250DB002084,"['8230DB006001', '8230DB004438', '8230DB004713', '8230DB004714', '8230DB004960', '8230GD10150', '8230GD10151', '8230DB002669', '8230DB010334', '8230GD10152', '8230GD10153', '8230DB006075', '8230DB002631', '8230DB002359', '8230DB002360', '8230DB004348', '8230DB004646', '8230DB004647', '8230DB002346', '8230DB004435', '8230DB002604', '8230DB002605', '8230DB002538', '8230DB002539', '8230DB002540', '8230DB004882', '8230DB004883', '8230DB004884', '8230DB004885', '8230DB004886', '8230DB004887', '8230GD10106', '8230GD10154', '8230DB007443', '8230DB007444', '8230DB002948', '8230DB002949', '8230DB002950', '8230DB007448', '8230DB002967', '8230DB002968', '8250DB002969', '8250DB002970', '8250DB002971', '8250GD10155', '8250DB002858', '8250DB002859', '8250DB002860', '8250DB002861', '8250GD10156', '8250DB002841', '8250DB002865', '8250DB002866', '8250DB007719', '8250GD10158', '8250GD10091', '8250GD10092', '8250GD10093', '8250DB002052', '8250DB002082', '8250DB002083', '8250DB002084']"
16,175,8250DB000765,8230DB005022,"['8250DB000765', '8250DB002007', '8250DB002008', '8250DB002071', '8250DB002072', '8250DB000867', '8250GD10096', '8250GD10097', '8250GD10098', '8250GD10159', '8250GD10160', '8250DB002825', '8250DB007716', '8250DB007717', '8250GD10103', '8250DB002845', '8250DB002846', '8250DB002847', '8250DB004397', '8250GD10104', '8250DB002978', '8250DB002979', '8230DB002980', '8230DB002981', '8230DB007447', '8230DB002983', '8230DB002984', '8230DB007449', '8230DB007442', '8230DB007446', '8230GD10105', '8230DB001149', '8230DB004869', '8230DB004870', '8230DB004871', '8230DB004872', '8230DB004873', '8230DB004874', '8230DB002532', '8230DB002533', '8230DB002534', '8230DB002535', '8230DB002536', '8230DB002616', '8230DB002617', '8230DB002557', '8230DB004436', '8230DB002363', '8230DB005008', '8230DB004640', '8230DB004347', '8230DB002349', '8230DB002351', '8230DB002621', '8230GD10107', '8230GD10108', '8230DB004644', '8230DB004645', '8230GD10109', '8230GD10110', '8230DB004930', '8230DB004931', '8230DB007459', '8230DB005022']"
17,18,8230DB004359,8220DB007599,"['8230DB004359', '8230DB004360', '8230DB004361', '8230DB002202', '8230DB002203', '8230DB002204', '8230DB004888', '8230DB004799', '8230DB002205', '8230DB002687', '8220DB002688', '8220DB002689', '8220DB002696', '8220DB002697', '8220DB002700', '8220DB002701', '8220DB002702', '8220DB002784', '8220DB002785', '8220DB002786', '8220DB002787', '8220DB002181', '8220DB002182', '8220DB002778', '8220DB002185', '8220DB001421', '8220DB002317', '8220DB002318', '8220DB002319', '8220DB002464', '8220DB002465', '8220DB002466', '8220DB002467', '8220DB002494', '8220DB002495', '8220DB002496', '8220DB002497', '8220DB002471', '8220DB002472', '8220DB002473', '8220DB002474', '8220DB002475', '8220DB002476', '8220DB002477', '8220DB002478', '8220DB004527', '8220DB002788', '8220DB002789', '8220DB002790', '8220DB000903', '8220DB000904', '8220DB000779', '8220DB000780', '8220DB000781', '8220DB002796', '8220DB002797', '8220DB000414', '8220DB000415', '8220DB000416', '8220DB000417', '8220DB002800', '8220DB002801', '8220DB007599']"
18,18,8220DB000385,8230DB007165,"['8220DB000385', '8220DB002806', '8220DB002807', '8220DB002808', '8220DB000486', '8220DB000487', '8220DB002798', '8220DB002799', '8220DB000753', '8220DB000754', '8220DB000755', '8220DB000849', '8220DB000850', '8220DB000851', '8220DB002791', '8220DB007668', '8220DB002793', '8220DB002794', '8220DB001077', '8220DB002479', '8220DB002480', '8220DB002481', '8220DB002482', '8220DB002483', '8220DB002484', '8220DB002485', '8220DB002486', '8220DB002487', '8220DB002488', '8220DB002489', '8220DB002448', '8220DB005026', '8220DB002450', '8220DB002328', '8220DB002329', '8220DB002330', '8220DB002331', '8220DB002101', '8220DB002102', '8220DB002726', '8220DB002727', '8220DB002105', '8220DB002780', '8220DB002781', '8220DB002782', '8220DB002783', '8220DB002652', '8220DB002653', '8220DB002654', '8220DB002655', '8220DB002656', '8220DB002668', '8220DB002672', '8230DB002673', '8230DB002206', '8230DB002207', '8230DB002208', '8230DB002210', '8230DB002211', '8230DB002212', '8230DB007165']"
19,184,8350DB004168,8350DB006138,"['8350DB004168', '8350DB004170', '8350DB004132', '8350DB004134', '8350DB004135', '8350DB004136', '8350DB004207', '8350DB004208', '8350DB004209', '8350DB004210', '8350DB004211', '8350DB004212', '8350DB004213', '8350DB005139', '8350DB004214', '8350DB004215', '8350DB004216', '8350DB004289', '8350DB004290', '8350DB004291', '8350DB004222', '8350DB004224', '8350DB004225', '8350DB004226', '8350DB007462', '8350DB007461', '8350DB004227', '8350DB004228', '8350DB004229', '8350DB004230', '8350DB004232', '8350DB007351', '8350DB004234', '8350DB004235', '8350DB006019', '8350DB004236', '8350DB004650', '8350DB004651', '8350DB004652', '8350DB004653', '8350DB004654', '8350DB004655', '8350DB006138']"
